Date,Hour,Load
1/6/2005,7,166.032
1/6/2005,8,169.466
1/6/2005,9,150.995
1/6/2005,10,145.449
1/6/2005,11,141.949
1/6/2005,12,138.987
1/6/2005,13,135.396
1/6/2005,14,132.923
1/6/2005,15,131.465
1/6/2005,16,137.457
1/6/2005,17,149.239
1/6/2005,18,174.788
1/6/2005,19,197.42
1/6/2005,20,198.447
1/6/2005,21,193.57
1/6/2005,22,177.003
1/6/2005,23,152.605
1/6/2005,24,128.032
1/7/2005,1,111.621
1/7/2005,2,105.98
1/7/2005,3,104.822
1/7/2005,4,106.6
1/7/2005,5,113.536
1/7/2005,6,136.573
1/7/2005,7,178.342
1/7/2005,8,184.53
1/7/2005,9,165.119
1/7/2005,10,158.12
1/7/2005,11,150.052
1/7/2005,12,143.043
1/7/2005,13,139.199
1/7/2005,14,134.826
1/7/2005,15,131.926
1/7/2005,16,134.451
1/7/2005,17,141.841
1/7/2005,18,167.857
1/7/2005,19,187.906
1/7/2005,20,182.566
1/7/2005,21,177.1
1/7/2005,22,167.515
1/7/2005,23,154.516
1/7/2005,24,135.599
1/8/2005,1,120.29
1/8/2005,2,111.896
1/8/2005,3,108.874
1/8/2005,4,109.066
1/8/2005,5,111.348
1/8/2005,6,116.849
1/8/2005,7,126.358
1/8/2005,8,140.613
1/8/2005,9,157.33
1/8/2005,10,168.881
1/8/2005,11,171.513
1/8/2005,12,168.229
1/8/2005,13,161.64
1/8/2005,14,154.324
1/8/2005,15,148.935
1/8/2005,16,146.992
1/8/2005,17,149.77
1/8/2005,18,166.561
1/8/2005,19,186.506
1/8/2005,20,182.54
1/8/2005,21,177.851
1/8/2005,22,169.805
1/8/2005,23,158.842
1/8/2005,24,142.696
1/9/2005,1,129.81
1/9/2005,2,122.627
1/9/2005,3,122.176
1/9/2005,4,124.299
1/9/2005,5,128.616
1/9/2005,6,136.82
1/9/2005,7,150.386
1/9/2005,8,172.917
1/9/2005,9,199.872
1/9/2005,10,198.357
1/9/2005,11,180.796
1/9/2005,12,166.886
1/9/2005,13,161.394
1/9/2005,14,154.025
1/9/2005,15,146.333
1/9/2005,16,144.689
1/9/2005,17,151.287
1/9/2005,18,176.959
1/9/2005,19,208.47
1/9/2005,20,214.137
1/9/2005,21,212.432
1/9/2005,22,199.38
1/9/2005,23,179.452
1/9/2005,24,158.126
1/10/2005,1,147.595
1/10/2005,2,145.742
1/10/2005,3,148.706
1/10/2005,4,153.038
1/10/2005,5,161.992
1/10/2005,6,186.216
1/10/2005,7,225.06
1/10/2005,8,225.025
1/10/2005,9,200.362
1/10/2005,10,181.581
1/10/2005,11,166.361
1/10/2005,12,152.977
1/10/2005,13,142.607
1/10/2005,14,135.239
1/10/2005,15,130.964
1/10/2005,16,133.051
1/10/2005,17,144.8
1/10/2005,18,176.668
1/10/2005,19,207.927
1/10/2005,20,211.89
1/10/2005,21,208.58
1/10/2005,22,194.433
1/10/2005,23,169.332
1/10/2005,24,146.884
1/11/2005,1,134.621
1/11/2005,2,132.008
1/11/2005,3,133.114
1/11/2005,4,136.257
1/11/2005,5,146.041
1/11/2005,6,171.008
1/11/2005,7,211.266
1/11/2005,8,213.171
1/11/2005,9,190.843
1/11/2005,10,175.15
1/11/2005,11,161.211
1/11/2005,12,149.756
1/11/2005,13,140.731
1/11/2005,14,133.966
1/11/2005,15,130.015
1/11/2005,16,133.216
1/11/2005,17,144.086
1/11/2005,18,174.329
1/11/2005,19,206.557
1/11/2005,20,210.775
1/11/2005,21,205.993
1/11/2005,22,190.819
1/11/2005,23,167.032
1/11/2005,24,143.249
1/12/2005,1,129.382
1/12/2005,2,125.572
1/12/2005,3,124.442
1/12/2005,4,125.661
1/12/2005,5,132.579
1/12/2005,6,154.815
1/12/2005,7,193.491
1/12/2005,8,192.783
1/12/2005,9,170.273
1/12/2005,10,157.45
1/12/2005,11,147.7
1/12/2005,12,140.526
1/12/2005,13,136.022
1/12/2005,14,131.55
1/12/2005,15,128.767
1/12/2005,16,131.11
1/12/2005,17,142.399
1/12/2005,18,171.462
1/12/2005,19,197.226
1/12/2005,20,195.826
1/12/2005,21,188.256
1/12/2005,22,175.693
1/12/2005,23,148.797
1/12/2005,24,122.052
1/13/2005,1,106.016
1/13/2005,2,99.295
1/13/2005,3,96.127
1/13/2005,4,95.773
1/13/2005,5,100.854
1/13/2005,6,120.561
1/13/2005,7,158.879
1/13/2005,8,162.411
1/13/2005,9,144.819
1/13/2005,10,138.803
1/13/2005,11,135.346
1/13/2005,12,132.351
1/13/2005,13,130.687
1/13/2005,14,129.387
1/13/2005,15,127.958
1/13/2005,16,130.99
1/13/2005,17,141.433
1/13/2005,18,167.438
1/13/2005,19,192.056
1/13/2005,20,194.207
1/13/2005,21,187.826
1/13/2005,22,173.347
1/13/2005,23,148.434
1/13/2005,24,122.736
1/14/2005,1,105.389
1/14/2005,2,97.724
1/14/2005,3,94.228
1/14/2005,4,93.822
1/14/2005,5,97.799
1/14/2005,6,116.107
1/14/2005,7,152.821
1/14/2005,8,162.453
1/14/2005,9,150.47
1/14/2005,10,150.482
1/14/2005,11,153.648
1/14/2005,12,154.938
1/14/2005,13,154.534
1/14/2005,14,153.547
1/14/2005,15,154.834
1/14/2005,16,161.616
1/14/2005,17,171.516
1/14/2005,18,194.189
1/14/2005,19,221.777
1/14/2005,20,221.993
1/14/2005,21,221.169
1/14/2005,22,215.464
1/14/2005,23,205.282
1/14/2005,24,191.128
1/15/2005,1,180.275
1/15/2005,2,177.508
1/15/2005,3,179.321
1/15/2005,4,182.861
1/15/2005,5,189.729
1/15/2005,6,198.356
1/15/2005,7,210.537
1/15/2005,8,228.506
1/15/2005,9,248.676
1/15/2005,10,251.226
1/15/2005,11,237.864
1/15/2005,12,222.535
1/15/2005,13,207.697
1/15/2005,14,197.81
1/15/2005,15,192.453
1/15/2005,16,194.762
1/15/2005,17,206.554
1/15/2005,18,227.982
1/15/2005,19,247.555
1/15/2005,20,244.176
1/15/2005,21,242.706
1/15/2005,22,234.982
1/15/2005,23,223.998
1/15/2005,24,206.878
1/16/2005,1,192.905
1/16/2005,2,187.453
1/16/2005,3,185.873
1/16/2005,4,187.231
1/16/2005,5,190.408
1/16/2005,6,196.564
1/16/2005,7,207.381
1/16/2005,8,228.103
1/16/2005,9,252.651
1/16/2005,10,248.134
1/16/2005,11,222.404
1/16/2005,12,203.278
1/16/2005,13,193.33
1/16/2005,14,181.874
1/16/2005,15,170.527
1/16/2005,16,166.02
1/16/2005,17,174.584
1/16/2005,18,203.483
1/16/2005,19,237.121
1/16/2005,20,244.812
1/16/2005,21,245.629
1/16/2005,22,238.291
1/16/2005,23,223.395
1/16/2005,24,207.964
1/17/2005,1,200.574
1/17/2005,2,202.903
1/17/2005,3,209.625
1/17/2005,4,218.355
1/17/2005,5,231.274
1/17/2005,6,254.807
1/17/2005,7,281.082
1/17/2005,8,293.976
1/17/2005,9,292.942
1/17/2005,10,285.15
1/17/2005,11,273.437
1/17/2005,12,257.319
1/17/2005,13,240.838
1/17/2005,14,228.109
1/17/2005,15,219.542
1/17/2005,16,220.037
1/17/2005,17,235.461
1/17/2005,18,279.107
1/17/2005,19,319.404
1/17/2005,20,327.282
1/17/2005,21,325.066
1/17/2005,22,311.024
1/17/2005,23,287.114
1/17/2005,24,267.387
1/18/2005,1,259.416
1/18/2005,2,261.588
1/18/2005,3,267.033
1/18/2005,4,273.639
1/18/2005,5,285.307
1/18/2005,6,314.389
1/18/2005,7,356.132
1/18/2005,8,353.248
1/18/2005,9,320.226
1/18/2005,10,307.518
1/18/2005,11,280.995
1/18/2005,12,258.837
1/18/2005,13,240.121
1/18/2005,14,224.689
1/18/2005,15,215.725
1/18/2005,16,216.815
1/18/2005,17,234.608
1/18/2005,18,278.461
1/18/2005,19,324.092
1/18/2005,20,337.256
1/18/2005,21,335.566
1/18/2005,22,325.843
1/18/2005,23,308.797
1/18/2005,24,290.285
1/19/2005,1,284.984
1/19/2005,2,288.658
1/19/2005,3,295.093
1/19/2005,4,301.772
1/19/2005,5,308.911
1/19/2005,6,332.116
1/19/2005,7,360.064
1/19/2005,8,345.789
1/19/2005,9,331.565
1/19/2005,10,312.474
1/19/2005,11,303.797
1/19/2005,12,294.8
1/19/2005,13,285.993
1/19/2005,14,274.521
1/19/2005,15,265.761
1/19/2005,16,257.305
1/19/2005,17,261.769
1/19/2005,18,288.019
1/19/2005,19,317.864
1/19/2005,20,318.17
1/19/2005,21,308.79
1/19/2005,22,297.276
1/19/2005,23,271.815
1/19/2005,24,247.432
1/20/2005,1,235.229
1/20/2005,2,233.242
1/20/2005,3,235.681
1/20/2005,4,236.964
1/20/2005,5,245.418
1/20/2005,6,268.225
1/20/2005,7,304.566
1/20/2005,8,303.892
1/20/2005,9,279.485
1/20/2005,10,258.289
1/20/2005,11,240.131
1/20/2005,12,219.473
1/20/2005,13,202.36
1/20/2005,14,192.638
1/20/2005,15,186.54
1/20/2005,16,189.07
1/20/2005,17,203.319
1/20/2005,18,231.841
1/20/2005,19,259.914
1/20/2005,20,263.199
1/20/2005,21,258.606
1/20/2005,22,242.418
1/20/2005,23,218.103
1/20/2005,24,193.151
1/21/2005,1,179.704
1/21/2005,2,175.397
1/21/2005,3,175.158
1/21/2005,4,176.88
1/21/2005,5,185.019
1/21/2005,6,207.375
1/21/2005,7,241.3
1/21/2005,8,247.239
1/21/2005,9,235.309
1/21/2005,10,227.239
1/21/2005,11,215.684
1/21/2005,12,205.361
1/21/2005,13,201.442
1/21/2005,14,202.635
1/21/2005,15,205.42
1/21/2005,16,212.997
1/21/2005,17,228.452
1/21/2005,18,251.824
1/21/2005,19,269.551
1/21/2005,20,266.494
1/21/2005,21,261.928
1/21/2005,22,254.107
1/21/2005,23,240.862
1/21/2005,24,224.914
1/22/2005,1,211.407
1/22/2005,2,205.399
1/22/2005,3,204.129
1/22/2005,4,204.627
1/22/2005,5,209.571
1/22/2005,6,217.503
1/22/2005,7,227.79
1/22/2005,8,246.128
1/22/2005,9,270.051
1/22/2005,10,289.671
1/22/2005,11,298.107
1/22/2005,12,301.507
1/22/2005,13,297.191
1/22/2005,14,290.3
1/22/2005,15,281.685
1/22/2005,16,277.839
1/22/2005,17,281.861
1/22/2005,18,291.907
1/22/2005,19,297.724
1/22/2005,20,286.837
1/22/2005,21,274.6
1/22/2005,22,259.595
1/22/2005,23,244.685
1/22/2005,24,234.245
1/23/2005,1,231.264
1/23/2005,2,233.897
1/23/2005,3,242.958
1/23/2005,4,254.297
1/23/2005,5,265.77
1/23/2005,6,279.114
1/23/2005,7,296.478
1/23/2005,8,318.86
1/23/2005,9,338.111
1/23/2005,10,335.047
1/23/2005,11,320.372
1/23/2005,12,306.795
1/23/2005,13,294.627
1/23/2005,14,279.795
1/23/2005,15,268.075
1/23/2005,16,263.286
1/23/2005,17,272.544
1/23/2005,18,304.78
1/23/2005,19,341.965
1/23/2005,20,349.093
1/23/2005,21,348.31
1/23/2005,22,335.177
1/23/2005,23,314.124
1/23/2005,24,293.906
1/24/2005,1,285.756
1/24/2005,2,287.779
1/24/2005,3,293.076
1/24/2005,4,301.029
1/24/2005,5,315.507
1/24/2005,6,345.954
1/24/2005,7,381.175
1/24/2005,8,381.629
1/24/2005,9,350.003
1/24/2005,10,319.531
1/24/2005,11,272.814
1/24/2005,12,243.989
1/24/2005,13,226.498
1/24/2005,14,209.935
1/24/2005,15,200.318
1/24/2005,16,207.992
1/24/2005,17,227.708
1/24/2005,18,253.645
1/24/2005,19,286.823
1/24/2005,20,291.115
1/24/2005,21,285.784
1/24/2005,22,272.3
1/24/2005,23,246.256
1/24/2005,24,224.246
1/25/2005,1,213.475
1/25/2005,2,213.005
1/25/2005,3,216.37
1/25/2005,4,222.29
1/25/2005,5,232.86
1/25/2005,6,258.682
1/25/2005,7,299.115
1/25/2005,8,297.337
1/25/2005,9,268.285
1/25/2005,10,233.501
1/25/2005,11,204.264
1/25/2005,12,182.897
1/25/2005,13,166.953
1/25/2005,14,155.795
1/25/2005,15,147.889
1/25/2005,16,147.757
1/25/2005,17,158.238
1/25/2005,18,185.577
1/25/2005,19,228.626
1/25/2005,20,240.833
1/25/2005,21,239.817
1/25/2005,22,232.333
1/25/2005,23,211.542
1/25/2005,24,188.502
1/26/2005,1,176.201
1/26/2005,2,173.968
1/26/2005,3,175.19
1/26/2005,4,176.228
1/26/2005,5,182.393
1/26/2005,6,203.848
1/26/2005,7,241.207
1/26/2005,8,237.801
1/26/2005,9,211.272
1/26/2005,10,194.202
1/26/2005,11,178.14
1/26/2005,12,160.999
1/26/2005,13,150.167
1/26/2005,14,143.37
1/26/2005,15,137.681
1/26/2005,16,138.674
1/26/2005,17,147.238
1/26/2005,18,170.963
1/26/2005,19,207.391
1/26/2005,20,211.959
1/26/2005,21,207.375
1/26/2005,22,199.737
1/26/2005,23,179.641
1/26/2005,24,156.759
1/27/2005,1,145.658
1/27/2005,2,144.164
1/27/2005,3,147.459
1/27/2005,4,153.132
1/27/2005,5,165.024
1/27/2005,6,193.275
1/27/2005,7,239.068
1/27/2005,8,242.247
1/27/2005,9,219.744
1/27/2005,10,204.217
1/27/2005,11,191.585
1/27/2005,12,178.515
1/27/2005,13,168.231
1/27/2005,14,159.999
1/27/2005,15,155.019
1/27/2005,16,158.445
1/27/2005,17,173.7
1/27/2005,18,209.266
1/27/2005,19,256.908
1/27/2005,20,272.766
1/27/2005,21,277.471
1/27/2005,22,269.044
1/27/2005,23,248.508
1/27/2005,24,227.858
1/28/2005,1,218.323
1/28/2005,2,219.089
1/28/2005,3,224.086
1/28/2005,4,231.11
1/28/2005,5,244.27
1/28/2005,6,273.204
1/28/2005,7,318.576
1/28/2005,8,321.908
1/28/2005,9,302.43
1/28/2005,10,286.116
1/28/2005,11,265.411
1/28/2005,12,245.734
1/28/2005,13,230.045
1/28/2005,14,219.938
1/28/2005,15,217.912
1/28/2005,16,219.02
1/28/2005,17,229.066
1/28/2005,18,260.465
1/28/2005,19,289.655
1/28/2005,20,290.799
1/28/2005,21,288.585
1/28/2005,22,282.852
1/28/2005,23,271.079
1/28/2005,24,253.648
1/29/2005,1,238.61
1/29/2005,2,233.358
1/29/2005,3,234.789
1/29/2005,4,236.844
1/29/2005,5,242.103
1/29/2005,6,250.341
1/29/2005,7,261.662
1/29/2005,8,279.026
1/29/2005,9,302.314
1/29/2005,10,313.361
1/29/2005,11,314.39
1/29/2005,12,314.38
1/29/2005,13,312.988
1/29/2005,14,306.06
1/29/2005,15,295.22
1/29/2005,16,289.338
1/29/2005,17,296.561
1/29/2005,18,309.89
1/29/2005,19,323.85
1/29/2005,20,313.363
1/29/2005,21,296.475
1/29/2005,22,276.577
1/29/2005,23,257.728
1/29/2005,24,237.681
1/30/2005,1,223.112
1/30/2005,2,216.333
1/30/2005,3,214.388
1/30/2005,4,214.476
1/30/2005,5,217.592
1/30/2005,6,220.784
1/30/2005,7,226.568
1/30/2005,8,238.029
1/30/2005,9,259.389
1/30/2005,10,271.208
1/30/2005,11,266.563
1/30/2005,12,256.994
1/30/2005,13,242.596
1/30/2005,14,219.076
1/30/2005,15,199.231
1/30/2005,16,190.862
1/30/2005,17,195.438
1/30/2005,18,214.999
1/30/2005,19,249.833
1/30/2005,20,259.179
1/30/2005,21,254.748
1/30/2005,22,238.282
1/30/2005,23,214.075
1/30/2005,24,192.34
1/31/2005,1,178.469
1/31/2005,2,176.276
1/31/2005,3,180.998
1/31/2005,4,190.499
1/31/2005,5,205.379
1/31/2005,6,235.211
1/31/2005,7,276.134
1/31/2005,8,278.087
1/31/2005,9,255.498
1/31/2005,10,229.304
1/31/2005,11,208.208
1/31/2005,12,193.467
1/31/2005,13,181.095
1/31/2005,14,170.045
1/31/2005,15,163.244
1/31/2005,16,165.53
1/31/2005,17,179.855
1/31/2005,18,210.834
1/31/2005,19,255.13
1/31/2005,20,267.374
1/31/2005,21,266.842
1/31/2005,22,253.995
1/31/2005,23,230.717
1/31/2005,24,209.929
2/1/2005,1,200.289
2/1/2005,2,200.456
2/1/2005,3,203.012
2/1/2005,4,206.159
2/1/2005,5,214.21
2/1/2005,6,239.961
2/1/2005,7,277.305
2/1/2005,8,273.585
2/1/2005,9,252.267
2/1/2005,10,236.379
2/1/2005,11,220.978
2/1/2005,12,207.572
2/1/2005,13,196.065
2/1/2005,14,185.745
2/1/2005,15,176.879
2/1/2005,16,177.433
2/1/2005,17,178.123
2/1/2005,18,202.931
2/1/2005,19,242.606
2/1/2005,20,273.503
2/1/2005,21,278.192
2/1/2005,22,270.369
2/1/2005,23,247.001
2/1/2005,24,224.962
2/2/2005,1,215.841
2/2/2005,2,215.29
2/2/2005,3,217.278
2/2/2005,4,221.19
2/2/2005,5,232.443
2/2/2005,6,261.265
2/2/2005,7,305.389
2/2/2005,8,302.268
2/2/2005,9,271.725
2/2/2005,10,251.066
2/2/2005,11,233.95
2/2/2005,12,221.923
2/2/2005,13,213.58
2/2/2005,14,206.013
2/2/2005,15,204.22
2/2/2005,16,208.579
2/2/2005,17,221.218
2/2/2005,18,243.788
2/2/2005,19,270.138
2/2/2005,20,270.252
2/2/2005,21,260.021
2/2/2005,22,248.685
2/2/2005,23,221.877
2/2/2005,24,193.942
2/3/2005,1,178.466
2/3/2005,2,173.384
2/3/2005,3,175.046
2/3/2005,4,180.018
2/3/2005,5,190.868
2/3/2005,6,216.043
2/3/2005,7,254.509
2/3/2005,8,259.957
2/3/2005,9,250.221
2/3/2005,10,249.849
2/3/2005,11,249.502
2/3/2005,12,246.117
2/3/2005,13,238.403
2/3/2005,14,230.235
2/3/2005,15,221.601
2/3/2005,16,223.563
2/3/2005,17,233.058
2/3/2005,18,253.401
2/3/2005,19,278.729
2/3/2005,20,280.401
2/3/2005,21,273.274
2/3/2005,22,256.955
2/3/2005,23,232.654
2/3/2005,24,208.131
2/4/2005,1,194.909
2/4/2005,2,190.529
2/4/2005,3,190.092
2/4/2005,4,191.818
2/4/2005,5,199.136
2/4/2005,6,222.462
2/4/2005,7,262.473
2/4/2005,8,266.1
2/4/2005,9,241.555
2/4/2005,10,214.776
2/4/2005,11,192.876
2/4/2005,12,175.404
2/4/2005,13,163.329
2/4/2005,14,153.364
2/4/2005,15,147.223
2/4/2005,16,146.663
2/4/2005,17,155.112
2/4/2005,18,175.998
2/4/2005,19,211.063
2/4/2005,20,219.799
2/4/2005,21,222.776
2/4/2005,22,221.177
2/4/2005,23,211.047
2/4/2005,24,195.373
2/5/2005,1,184.195
2/5/2005,2,181.416
2/5/2005,3,183.274
2/5/2005,4,186.901
2/5/2005,5,193.045
2/5/2005,6,201.515
2/5/2005,7,215.766
2/5/2005,8,233.381
2/5/2005,9,241.44
2/5/2005,10,225.826
2/5/2005,11,205.977
2/5/2005,12,187.893
2/5/2005,13,170.995
2/5/2005,14,158.112
2/5/2005,15,150.247
2/5/2005,16,148.188
2/5/2005,17,150.827
2/5/2005,18,163.803
2/5/2005,19,193.301
2/5/2005,20,200.778
2/5/2005,21,202.576
2/5/2005,22,202.109
2/5/2005,23,195.485
2/5/2005,24,184.954
2/6/2005,1,176.36
2/6/2005,2,174.772
2/6/2005,3,177.692
2/6/2005,4,183.507
2/6/2005,5,191.429
2/6/2005,6,201.828
2/6/2005,7,217.538
2/6/2005,8,241.464
2/6/2005,9,256.327
2/6/2005,10,234.398
2/6/2005,11,201.402
2/6/2005,12,179.119
2/6/2005,13,169.51
2/6/2005,14,162.341
2/6/2005,15,152.974
2/6/2005,16,151.854
2/6/2005,17,159.392
2/6/2005,18,173.831
2/6/2005,19,201.039
2/6/2005,20,205.132
2/6/2005,21,207.963
2/6/2005,22,201.504
2/6/2005,23,191.193
2/6/2005,24,173.557
2/7/2005,1,159.638
2/7/2005,2,157.023
2/7/2005,3,159.008
2/7/2005,4,166.049
2/7/2005,5,179.696
2/7/2005,6,208.374
2/7/2005,7,249.389
2/7/2005,8,250.241
2/7/2005,9,223.465
2/7/2005,10,196.273
2/7/2005,11,175.241
2/7/2005,12,159.572
2/7/2005,13,149.64
2/7/2005,14,140.97
2/7/2005,15,135.5
2/7/2005,16,135.534
2/7/2005,17,142.458
2/7/2005,18,162.892
2/7/2005,19,201.567
2/7/2005,20,214.161
2/7/2005,21,209.473
2/7/2005,22,196.242
2/7/2005,23,172.488
2/7/2005,24,150.356
2/8/2005,1,136.729
2/8/2005,2,133.76
2/8/2005,3,135.25
2/8/2005,4,137.889
2/8/2005,5,146.008
2/8/2005,6,170.905
2/8/2005,7,214.251
2/8/2005,8,212.483
2/8/2005,9,186.963
2/8/2005,10,166.665
2/8/2005,11,152.364
2/8/2005,12,143.11
2/8/2005,13,136.731
2/8/2005,14,131.316
2/8/2005,15,128.399
2/8/2005,16,129.692
2/8/2005,17,139.44
2/8/2005,18,158.502
2/8/2005,19,191.427
2/8/2005,20,199.66
2/8/2005,21,191.804
2/8/2005,22,178.51
2/8/2005,23,153.767
2/8/2005,24,128.596
2/9/2005,1,113.081
2/9/2005,2,108.001
2/9/2005,3,107.166
2/9/2005,4,108.618
2/9/2005,5,116.295
2/9/2005,6,139.563
2/9/2005,7,180.803
2/9/2005,8,183.207
2/9/2005,9,164.599
2/9/2005,10,157.235
2/9/2005,11,153.14
2/9/2005,12,149.656
2/9/2005,13,147.299
2/9/2005,14,144.472
2/9/2005,15,144.22
2/9/2005,16,151.237
2/9/2005,17,163.405
2/9/2005,18,184.631
2/9/2005,19,208.426
2/9/2005,20,208.445
2/9/2005,21,201.075
2/9/2005,22,185.304
2/9/2005,23,161.222
2/9/2005,24,134.97
2/10/2005,1,118.862
2/10/2005,2,113.58
2/10/2005,3,113.624
2/10/2005,4,117.548
2/10/2005,5,127.569
2/10/2005,6,154.209
2/10/2005,7,199.296
2/10/2005,8,203.235
2/10/2005,9,183.089
2/10/2005,10,173.537
2/10/2005,11,169.233
2/10/2005,12,166.459
2/10/2005,13,165.291
2/10/2005,14,164.608
2/10/2005,15,164.375
2/10/2005,16,171.393
2/10/2005,17,186.791
2/10/2005,18,215.557
2/10/2005,19,257.877
2/10/2005,20,272.539
2/10/2005,21,273.85
2/10/2005,22,261.719
2/10/2005,23,238.684
2/10/2005,24,216.355
2/11/2005,1,206.988
2/11/2005,2,206.722
2/11/2005,3,208.599
2/11/2005,4,212.554
2/11/2005,5,223.337
2/11/2005,6,249.923
2/11/2005,7,291.472
2/11/2005,8,290.133
2/11/2005,9,258.259
2/11/2005,10,233.981
2/11/2005,11,213.976
2/11/2005,12,195.152
2/11/2005,13,180.803
2/11/2005,14,169.235
2/11/2005,15,163.174
2/11/2005,16,164.681
2/11/2005,17,176.948
2/11/2005,18,202.741
2/11/2005,19,240.01
2/11/2005,20,248.691
2/11/2005,21,248.442
2/11/2005,22,243.375
2/11/2005,23,232.454
2/11/2005,24,217.571
2/12/2005,1,206.912
2/12/2005,2,204.949
2/12/2005,3,205.878
2/12/2005,4,208.258
2/12/2005,5,212.646
2/12/2005,6,221.57
2/12/2005,7,237.073
2/12/2005,8,254.59
2/12/2005,9,256.752
2/12/2005,10,235.668
2/12/2005,11,211.976
2/12/2005,12,191.692
2/12/2005,13,174.913
2/12/2005,14,162.103
2/12/2005,15,153.436
2/12/2005,16,151.232
2/12/2005,17,155.451
2/12/2005,18,168.439
2/12/2005,19,195.367
2/12/2005,20,202.296
2/12/2005,21,202.338
2/12/2005,22,198.527
2/12/2005,23,190.245
2/12/2005,24,177.772
2/13/2005,1,168.378
2/13/2005,2,165.624
2/13/2005,3,167.809
2/13/2005,4,171.38
2/13/2005,5,177.998
2/13/2005,6,186.374
2/13/2005,7,199.044
2/13/2005,8,218.802
2/13/2005,9,236.111
2/13/2005,10,226.839
2/13/2005,11,200.969
2/13/2005,12,184.643
2/13/2005,13,178.406
2/13/2005,14,170.107
2/13/2005,15,162.373
2/13/2005,16,163.478
2/13/2005,17,172.359
2/13/2005,18,186.329
2/13/2005,19,208.961
2/13/2005,20,215.756
2/13/2005,21,211.014
2/13/2005,22,196.732
2/13/2005,23,174.134
2/13/2005,24,151.055
2/14/2005,1,136.286
2/14/2005,2,131.975
2/14/2005,3,131.014
2/14/2005,4,132.957
2/14/2005,5,140.492
2/14/2005,6,163.743
2/14/2005,7,202.805
2/14/2005,8,203.691
2/14/2005,9,185.881
2/14/2005,10,176.685
2/14/2005,11,171.88
2/14/2005,12,167.094
2/14/2005,13,163.194
2/14/2005,14,161.618
2/14/2005,15,161.848
2/14/2005,16,168.709
2/14/2005,17,178.712
2/14/2005,18,196.149
2/14/2005,19,217.993
